,corp_code,PER,PER score,PSR,PSR score,EE,EE score,3M momentum,Total Score
한진중공업홀딩스,00163673,2.5649793258426965,98.28125,0.0884372835393019,95.0,47.439196964782916,48.90625,15.09,242.1875
휴림네트웍스,00623184,3.2811621028859412,96.796875,0.3105055776507103,71.328125,12.947370443718908,75.078125,0.0,243.203125
네오위즈홀딩스,00266952,5.646492711263144,89.453125,0.46179146940656834,60.15625,2.110808725031482,99.609375,-3.36,249.21875
KG케미칼,00101220,0.6250157576939186,99.921875,0.06627932773969492,97.109375,9.914127011312301,83.125,-5.31,280.15625
바이오스마트,00240857,3.8134521948294826,95.15625,0.5312791681291149,55.859375,4.9764847489097,95.9375,-5.49,246.953125
DL,00109693,4.5275548875962865,93.203125,0.3103892281348808,71.40625,7.4753946990408835,89.296875,-7.25,253.90625
삼호개발,00128980,4.391140996548868,93.828125,0.2592697358982627,76.09375,6.545275682555338,91.953125,-9.24,261.875
에스에이엠티,00128661,4.911158955733119,91.953125,0.15210140701171287,87.5,5.975805283778017,93.28125,-10.12,272.734375
동부건설,00115612,2.6830967660188754,98.203125,0.13890845427945336,89.296875,6.0854502352371584,92.96875,-10.78,280.46875
탑엔지니어링,00366845,4.777395691766682,92.34375,0.10854094673420409,92.734375,4.544990240080451,96.71875,-11.0,281.796875
엔브이에이치코리아,00146436,5.35508766175135,90.703125,0.08048780798572705,95.78125,31.40247998099719,55.390625,-11.21,241.875
유성기업,00174004,3.800905323417187,95.234375,0.2302080319547973,78.671875,5.589521359929528,94.6875,-11.41,268.59375
신대양제지,00135777,2.9553752974315604,97.65625,0.33020009880251716,69.6875,4.190492974317325,97.65625,-11.96,265.0
대상,00121941,6.351803971607175,87.1875,0.23331770774966581,78.203125,12.223139363799817,76.796875,-13.12,242.1875
대한제강,00113225,3.8704776784321404,95.078125,0.11221682490573533,92.1875,6.283232426033883,92.421875,-13.27,279.6875
삼지전자,00128315,6.378191963320863,87.03125,0.08573219833826343,95.234375,8.361846100598616,86.953125,-13.34,269.21875
SK디스커버리,00131832,1.8492943816301721,98.90625,0.09214921217819497,94.453125,17.888705110189356,66.328125,-13.69,259.6875
SNT홀딩스,00225159,3.178554949686628,97.03125,0.13029798310219906,90.390625,2.957756411329049,98.984375,-13.91,286.40625
한국아트라스비엑스,00159290,3.136259086483909,97.109375,0.25709928821772465,76.171875,3.3727638098485753,98.75,-14.95,272.03125
대상홀딩스,00539274,1.4879379414910312,99.609375,0.05789651567121628,98.125,9.391361033899368,84.453125,-15.03,282.1875
한전산업,00194947,5.4458216208104,90.15625,0.3004592537274814,72.34375,7.629419513597441,88.984375,-15.25,251.484375
대한유화,00260383,5.360556390511732,90.625,0.2748180102931469,74.765625,5.635372260118269,94.453125,-15.32,259.84375
대양제지,00111227,2.337647581779265,98.4375,0.23148181937303447,78.4375,4.511990621158069,96.875,-15.35,273.75
KPX케미칼,00191472,5.27385550858299,91.09375,0.28070077176980723,74.296875,4.91208617983864,96.09375,-16.45,261.484375
한국수출포장공업,00158112,3.762382616532013,95.390625,0.24966694622699495,76.796875,5.740226826037166,94.21875,-16.5,266.40625
