,PER,PER score,PSR,PSR score,EE,EE score,PCR,PCR score,6M momentum,Total Score
우주일렉트로,7.3469980103373445,83.4375,0.4533923405785023,60.859375,6.45242523408287,92.109375,2.1945054658711114,88.4375,25.3,486.4503638206084
엠씨넥스,5.957306220618903,88.515625,0.3971216311924048,64.296875,5.821609433059941,93.75,4.338389919061441,73.984375,22.01,483.4644914778133
탑엔지니어링,4.777395691766682,92.34375,0.10854094673420409,92.734375,4.544990240080451,96.71875,2.933372666485175,83.4375,8.01,546.6012432810155
SK디스커버리,1.8492943816301721,98.90625,0.09214921217819497,94.453125,17.888705110189356,66.328125,2.1269581784073655,89.0625,5.09,490.30850506437537
네오위즈홀딩스,5.646492711263144,89.453125,0.46179146940656834,60.15625,2.110808725031482,99.609375,3.593843771754786,79.53125,3.23,498.4644703037122
케이씨,3.4767104294591187,96.40625,0.33059817918545104,69.609375,2.3480534355999407,99.375,5.435678445513624,67.8125,2.26,504.79862255760634
토비스,4.500064686593828,93.28125,0.23695704117445796,77.734375,5.891426364541123,93.515625,3.575688823873569,79.609375,1.88,513.5712023339247
휴림네트웍스,3.2811621028859412,96.796875,0.3105055776507103,71.328125,12.947370443718908,75.078125,1.7806497822410317,92.03125,0.0,478.4618351115606
KX,7.891552325577515,81.953125,0.46149887819467733,60.234375,9.273624206612872,84.84375,2.33116773172591,87.265625,0.0,465.69366780123755
KG케미칼,0.6250157576939186,99.921875,0.06627932773969492,97.109375,9.914127011312301,83.125,0.9342127532174492,97.5,-2.28,544.3958469023876
한솔로지스틱스,5.5789914322222645,89.921875,0.07154920725055974,96.484375,16.160365493662937,69.296875,1.1248416920263316,96.015625,-3.61,499.81189588915987
S&K폴리텍,4.413970699982834,93.515625,0.20028170304254714,82.1875,8.573982325810878,86.25,3.0609243108499324,82.578125,-4.43,506.64645088677196
에이텍모빌리티,7.894839383621655,81.875,0.31057673748122056,71.25,10.140898461283749,82.578125,1.7900442922092912,91.796875,-4.8,481.64686968746514
비츠로테크,6.7529900852726605,85.703125,0.3599753289155403,67.421875,5.879470256994802,93.671875,3.4177972795034806,80.46875,-5.08,492.6823434331319
아바코,3.4093943745673374,96.484375,0.29538814533374486,72.8125,4.672756869674781,96.40625,2.0971107783492036,89.375,-5.48,527.4457128239677
SK가스,3.9950304738255396,94.765625,0.12486297744566541,91.171875,17.7767909745897,66.484375,2.001003537767533,90.3125,-5.56,483.40793505642176
금호석유화학,6.2691271827168435,87.578125,0.3710156543404662,66.40625,9.56328512642099,83.671875,3.311735653687186,81.015625,-6.1,470.07190610823704
신세계,3.6650823325376054,95.703125,0.3399702746176272,69.140625,11.900691904997768,77.421875,2.7519116495003635,84.53125,-7.92,471.0910668103359
한국수출포장공업,3.762382616532013,95.390625,0.24966694622699495,76.796875,5.740226826037166,94.21875,2.1042595792966114,89.296875,-8.13,527.0132017119741
삼호개발,4.391140996548868,93.828125,0.2592697358982627,76.09375,6.545275682555338,91.953125,3.1249765452162097,81.953125,-8.29,510.71200194683587
신풍,1.6588926897836036,99.21875,0.20663430730253302,81.5625,11.79057975050334,77.890625,1.8514464486567486,91.328125,-8.59,501.53707753110643
SNT홀딩스,3.178554949686628,97.03125,0.13029798310219906,90.390625,2.957756411329049,98.984375,2.209156215559043,88.125,-9.72,558.3245521982233
리드코프,3.343064541194518,96.640625,0.2739072541948185,74.921875,14.87424615203003,71.171875,0.8973464307773067,97.8125,-10.05,481.05563838519527
동원수산,6.347274061553425,87.265625,0.2349812559503144,77.890625,6.0554453579532455,93.046875,2.0156699227565844,90.234375,-10.49,519.2773158623228
동부건설,2.6830967660188754,98.203125,0.13890845427945336,89.296875,6.0854502352371584,92.96875,3.3236426138780297,80.859375,-10.57,535.299271906179
