,corp_code,stock_code,PBR,PBR score,PER,PER score,PSR,PSR score,EE,EE score,PCR,PCR score,DIV,DIV score,6M momentum,Total Score
세동,00133663,053060,1.238296083547074,43.12541918175721,2.851034157927162,96.51240778001342,0.22599044684828495,85.71428571428571,10.633286266153588,80.34875922199866,1.7739674397992842,96.10999329309189,0,26.693494299128105,83.64,617.6695615078556
KTcs,00372882,058850,0.706981587552168,67.20321931589537,7.481706859903368,83.76928236083165,0.13156445662756874,93.09188464118041,12.540916663500369,75.65392354124748,6.872353680848845,75.38564721663313,0.029637160234761435,85.58014755197854,63.01,609.0802205440114
서연,00163114,007860,0.18379391509602502,97.58551307847083,1.8610853205687685,98.2562038900067,0.05674586145029481,98.52448021462106,7.949195934456784,87.86049631120054,0.7312893052718923,98.9268947015426,0,26.693494299128105,58.88,682.6923431379283
KISCO홀딩스,00159740,001940,0.1902899925324642,97.25016767270289,2.297452695203097,97.85378940308517,0.15724577290159755,90.47619047619048,2.3911260995227055,99.12810194500335,2.8985888175234695,92.01877934272301,0.04320970374374212,91.68343393695507,58.08,697.9168537402654
화신,00166315,010690,1.305501803719672,41.64989939637827,6.277491744289438,86.72032193158954,0.27562795969947645,80.81824279007378,10.522113124818501,80.75117370892019,5.510870353011872,79.61099932930918,0.004946865533129928,59.0878604963112,52.31,586.4519648131381
F&F 홀딩스,00126487,007700,0.29413664428035236,93.158953722334,2.977866499424899,95.97585513078471,0.4677252235332624,68.87994634473507,2.427796253042753,99.06103286384976,2.5549060882981305,93.02481556002682,0.042200945573257063,91.14688128772636,52.1,642.9695006603267
KG케미칼,00101220,001390,0.1547372319404318,98.45741113346747,0.7723514842988333,99.53051643192488,0.0758976478570233,97.1830985915493,7.183866716233938,89.738430583501,1.80510001929327,95.90878604963112,0.04962058301057701,94.09792085848424,51.14,699.2975285906449
엠에스오토텍,00259545,123040,0.5670747148758923,75.5197853789403,6.032662442687885,87.39101274312542,0.12934226552772993,93.42723004694835,7.336742761968252,89.26894701542588,1.6883371161656382,96.31120053655265,0,26.693494299128105,50.25,655.768126080757
피에이치에이,00155151,043370,0.2663561055340547,94.16498993963782,6.343808809582327,86.3849765258216,0.17500778917863152,88.79946344735077,8.798660489840955,85.98256203890007,3.2941923229395367,90.54325955734406,0.020618556701030927,79.07444668008048,41.72,646.4377572371266
아진산업,00139083,013310,0.632496739409875,71.09322602280349,5.098836153137398,90.3420523138833,0.2531663378270383,83.09859154929578,15.810458249152566,69.3494299128102,1.6923502390672254,96.24413145539906,0,26.693494299128105,40.54,585.2803047164691
쌍용정보통신,00138303,010280,1.1109880388849152,47.686116700201204,5.570044584632969,89.13480885311871,0.20966366601638237,86.8544600938967,14.844869209683296,70.62374245472837,1.2659880378978143,97.92085848423876,0,26.693494299128105,39.53,593.6472104758282
DMS,00361594,068790,0.4906663401044354,80.28169014084507,4.985298217798897,90.74446680080483,0.5110657979515573,65.92890677397719,4.565534012208822,95.50637156270959,12.236386062565277,61.904761904761905,0.015082956259426848,72.83702213279679,35.17,579.1587566739385
태경산업,00153339,015890,0.606688595838333,72.43460764587525,6.814831919430416,85.11066398390342,0.3481352120291764,76.05633802816901,9.582095302070254,83.90342052313883,8.18693641535776,70.95908786049631,0.03194531340021942,86.45204560697519,34.32,583.9375016188396
LS,00105952,006260,0.4622030004340497,82.897384305835,5.685570509853597,88.46411804158282,0.1467801894286189,92.01877934272301,18.475475597337063,64.98993963782695,5.496264091849099,79.67806841046277,0.024400732854740596,81.69014084507043,33.76,592.8525082181729
