,corp_code,stock_code,PBR,PBR score,PER,PER score,PSR,PSR score,EE,EE score,PCR,PCR score,DIV,DIV score,6M momentum,3M momentum,Total Score
매일홀딩스,00120924,005990,0.13601260425899658,99.0,2.037764849669171,98.6923076923077,0.04717710543300894,98.84615384615384,4.37900577093001,95.6923076923077,0.5384428440093023,99.61538461538461,0.07492178052345427,97.07692307692308,-2.65,-1.22,721.7709090223233
대한제분,00113243,001130,0.22758879554462508,94.46153846153847,2.248931496265106,98.53846153846153,0.1569345076835217,90.15384615384616,3.7071306316868218,97.0,1.650339010693774,94.6923076923077,0.018182116571063306,73.76923076923077,10.18,0.73,690.6107974107322
SNT홀딩스,00225159,036530,0.1699331356438279,97.76923076923077,3.7992241999387546,94.3076923076923,0.17505227974612148,88.6923076923077,3.7452880090647307,96.92307692307692,1.575995892162773,95.0,0.030501089324618737,83.6923076923077,40.54,11.14,686.4454591251737
세보엠이씨,00133876,011560,0.44962802265389584,78.84615384615384,3.1355345826364096,96.46153846153847,0.10845526757494306,94.46153846153847,6.843503667573272,89.53846153846153,1.3631159283804548,96.6923076923077,0.052863751309301384,93.07692307692308,10.79,11.05,685.9409127486838
대한제강,00113225,084010,0.28527366532262266,91.3076923076923,3.3439297581486565,95.53846153846153,0.166290963457269,89.46153846153847,2.8596941197743893,98.84615384615384,3.877312684550229,81.38461538461539,0.06015189970918534,95.0,4.39,-0.65,679.9837549682599
사조대림,00109718,003960,0.4172294773392746,81.38461538461539,3.2472665088497914,96.3076923076923,0.14376586781896006,91.3076923076923,5.104273492710331,94.3076923076923,1.6969788387440634,94.53846153846153,0.00867739580194291,63.38461538461539,35.64,1.19,679.5136982697431
티에이치엔,00118965,019180,0.5664683987932807,70.38461538461539,2.355798412096231,98.07692307692308,0.11420807345769746,93.84615384615384,8.250886191860172,86.84615384615384,1.4973138968541424,95.46153846153847,0.013440860215053764,68.23076923076924,23.38,7.2,670.0164263529309
세아제강지주,00124197,003030,0.40084973231577986,83.0,2.3375661146906515,98.23076923076923,0.24469855722320188,82.76923076923077,3.9131588957097647,96.76923076923077,1.7232054203397045,94.23076923076923,0.022242365582428418,77.23076923076924,24.02,13.67,669.6587949141544
서희건설,00219848,035890,0.32596496256762086,89.53846153846153,1.9450793589310906,98.76923076923077,0.19072476309864067,87.46153846153847,4.681831536035929,94.92307692307692,3.4086772317409713,84.15384615384616,0.03534959705152218,86.0,-1.36,7.5,669.3638502595771
KPX홀딩스,00587466,092230,0.1582681344388485,98.15384615384616,2.75673998070744,97.38461538461539,0.19183617327274713,87.3076923076923,2.9311601619510155,98.6923076923077,2.4011649155547734,89.76923076923077,0,26.03846153846154,16.63,4.62,669.0890406190562
