,corp_code,stock_code,revPER,revPER score,Total Score
나인테크,01208849,267320,0.003029623613316647,99.92307692307692,99.92307692307692
유니온머티리얼,00369833,047400,0.005509660641502322,99.84615384615384,99.84615384615384
모다이노칩,00480048,080420,0.00564291181861218,99.76923076923077,99.76923076923077
우성,00142661,006980,0.00886909693818624,99.6923076923077,99.6923076923077
대성홀딩스,00108940,016710,0.0104777100084751,99.61538461538461,99.61538461538461
디에이테크놀로지,00660121,196490,0.013595306303908282,99.53846153846153,99.53846153846153
호텔신라,00165680,008770,0.013664089000381744,99.46153846153847,99.46153846153847
테라사이언스,00373021,073640,0.013801821000112456,99.38461538461539,99.38461538461539
엠젠솔루션,00110884,032790,0.014130967507435623,99.3076923076923,99.3076923076923
율호,00583026,072770,0.014255629429329902,99.23076923076923,99.23076923076923
카나리아바이오,00164618,016790,0.015027740604882506,99.15384615384616,99.15384615384616
대한항공,00113526,003490,0.01552336997230348,99.07692307692308,99.07692307692308
알엔투테크놀로지,00915508,148250,0.016787997119204912,99.0,99.0
DXVX,00995993,180400,0.017950440632985676,98.92307692307692,98.92307692307692
피씨엘,01051092,241820,0.01964573425910299,98.84615384615384,98.84615384615384
엑서지21,00351454,043090,0.02023282721424524,98.76923076923077,98.76923076923077
티로보틱스,00867098,117730,0.024410075629836814,98.6923076923077,98.6923076923077
알에프세미,00516246,096610,0.02916175484693488,98.61538461538461,98.61538461538461
엔투텍,01105621,227950,0.02930826376285471,98.53846153846153,98.53846153846153
삼진엘앤디,00239514,054090,0.02931514620658232,98.46153846153847,98.46153846153847
아이비김영,01414422,339950,0.02962114599498302,98.38461538461539,98.38461538461539
아스트,00409681,067390,0.036788443276767176,98.3076923076923,98.3076923076923
클리노믹스,01201970,352770,0.03692539985735724,98.23076923076923,98.23076923076923
케어젠,00549891,214370,0.0414298450404489,98.15384615384616,98.15384615384616
라이트론,00367482,069540,0.04144699666764748,98.07692307692308,98.07692307692308
