,날짜,체결가,전일비,등락률,거래량(천주),거래대금(백만),Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,2024.05.07,2734.36,57.73,+2.16%,532203.0,11153672.0,0.0,0.0,,,,,,
1,2024.05.03,2676.63,7.02,-0.26%,338612.0,7850447.0,1.0,1.0,,,,,,
2,2024.05.02,2683.65,8.41,-0.31%,351087.0,9059053.0,2.0,2.0,,,,,,
3,2024.04.30,2692.06,4.62,+0.17%,460084.0,11347130.0,3.0,3.0,,,,,,
4,2024.04.29,2687.44,31.11,+1.17%,470546.0,10491388.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2024.04.26,2656.33,27.71,+1.05%,450521.0,10148866.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0
6,2024.04.25,2628.62,47.13,-1.76%,334062.0,8987959.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0
7,2024.04.24,2675.75,52.73,+2.01%,325740.0,10227695.0,7.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0
8,2024.04.23,2623.02,6.42,-0.24%,430276.0,9948338.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0
9,2024.04.22,2629.44,37.58,+1.45%,401892.0,11021071.0,9.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0
10,2024.04.19,2591.86,42.84,-1.63%,809473.0,14044807.0,10.0,10.0,6.0,6.0,6.0,6.0,6.0,6.0
11,2024.04.18,2634.7,50.52,+1.95%,478786.0,10571080.0,11.0,11.0,7.0,7.0,7.0,7.0,7.0,7.0
12,2024.04.17,2584.18,25.45,-0.98%,414348.0,9779318.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0
13,2024.04.16,2609.63,60.8,-2.28%,570212.0,12257739.0,13.0,13.0,9.0,9.0,9.0,9.0,9.0,9.0
14,2024.04.15,2670.43,11.39,-0.42%,561950.0,10506647.0,14.0,14.0,10.0,10.0,10.0,10.0,10.0,10.0
15,2024.04.12,2681.82,25.14,-0.93%,514575.0,11903471.0,15.0,15.0,11.0,11.0,11.0,11.0,11.0,11.0
16,2024.04.11,2706.96,1.8,+0.07%,561333.0,12789893.0,16.0,16.0,12.0,12.0,12.0,12.0,12.0,12.0
17,2024.04.09,2705.16,12.49,-0.46%,470184.0,10037705.0,17.0,17.0,13.0,13.0,13.0,13.0,13.0,13.0
18,2024.04.08,2717.65,3.44,+0.13%,620653.0,10560913.0,18.0,18.0,14.0,14.0,14.0,14.0,14.0,14.0
19,2024.04.05,2714.21,27.79,-1.01%,621031.0,11293864.0,19.0,19.0,15.0,15.0,15.0,15.0,15.0,15.0
20,2024.04.04,2742.0,35.03,+1.29%,477953.0,11978194.0,20.0,20.0,16.0,16.0,16.0,16.0,16.0,16.0
21,2024.04.03,2706.97,46.19,-1.68%,640806.0,13257040.0,21.0,21.0,17.0,17.0,17.0,17.0,17.0,17.0
22,2024.04.02,2753.16,5.3,+0.19%,630393.0,13116888.0,22.0,22.0,18.0,18.0,18.0,18.0,18.0,18.0
23,2024.04.01,2747.86,1.23,+0.04%,397601.0,10066835.0,23.0,23.0,19.0,19.0,19.0,19.0,19.0,19.0
24,2024.03.29,2746.63,0.81,+0.03%,495496.0,11190103.0,24.0,24.0,20.0,20.0,20.0,20.0,20.0,20.0
25,2024.03.28,2745.82,9.29,-0.34%,419278.0,11925009.0,25.0,25.0,21.0,21.0,21.0,21.0,21.0,21.0
26,2024.03.27,2755.11,1.98,-0.07%,510644.0,12461944.0,26.0,26.0,22.0,22.0,22.0,22.0,22.0,22.0
27,2024.03.26,2757.09,19.52,+0.71%,448301.0,12188273.0,27.0,27.0,23.0,23.0,23.0,23.0,23.0,23.0
28,2024.03.25,2737.57,10.99,-0.40%,489620.0,9979717.0,28.0,28.0,24.0,24.0,24.0,24.0,24.0,24.0
29,2024.03.22,2748.56,6.3,-0.23%,509545.0,11532687.0,29.0,29.0,25.0,25.0,25.0,25.0,25.0,25.0
30,2024.03.21,2754.86,64.72,+2.41%,825227.0,14013557.0,30.0,30.0,26.0,26.0,26.0,26.0,26.0,26.0
31,2024.03.20,2690.14,33.97,+1.28%,720452.0,12739395.0,31.0,31.0,27.0,27.0,27.0,27.0,27.0,27.0
