,날짜,종가,전일비,시가,고가,저가,거래량,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,2024.04.29,547.0,하락  2,551.0,561.0,546.0,152351.0,0.0,0.0,0.0,0.0,
1,2024.04.26,549.0,하락  13,562.0,567.0,548.0,181957.0,1.0,1.0,1.0,1.0,
2,2024.04.25,562.0,하락  5,565.0,574.0,548.0,314463.0,2.0,2.0,2.0,2.0,
3,2024.04.24,567.0,하락  4,570.0,595.0,563.0,191707.0,3.0,3.0,3.0,3.0,
4,2024.04.23,571.0,하락  1,572.0,578.0,562.0,131812.0,4.0,4.0,4.0,4.0,
5,2024.04.22,572.0,하락  4,576.0,580.0,556.0,208301.0,5.0,5.0,5.0,5.0,
6,2024.04.19,576.0,상승  2,574.0,590.0,557.0,200987.0,6.0,6.0,6.0,6.0,
7,2024.04.18,574.0,상승  5,567.0,582.0,556.0,301979.0,7.0,7.0,7.0,7.0,
8,2024.04.17,569.0,4.0,564.0,576.0,560.0,269807.0,8.0,8.0,8.0,8.0,0.0
9,2024.04.16,565.0,23.0,584.0,585.0,561.0,360491.0,9.0,9.0,9.0,9.0,1.0
10,2024.04.15,588.0,7.0,594.0,603.0,574.0,351810.0,10.0,10.0,10.0,10.0,2.0
11,2024.04.12,595.0,5.0,588.0,606.0,558.0,267834.0,11.0,11.0,11.0,11.0,3.0
12,2024.04.11,590.0,3.0,576.0,600.0,551.0,370821.0,12.0,12.0,12.0,12.0,4.0
13,2024.04.09,587.0,12.0,573.0,590.0,546.0,956982.0,13.0,13.0,13.0,13.0,5.0
14,2024.04.08,575.0,52.0,627.0,627.0,559.0,1121690.0,14.0,14.0,14.0,14.0,6.0
15,2024.04.05,627.0,8.0,632.0,635.0,612.0,361576.0,15.0,15.0,15.0,15.0,7.0
16,2024.04.04,635.0,6.0,632.0,641.0,623.0,253380.0,16.0,16.0,16.0,16.0,8.0
17,2024.04.03,641.0,5.0,630.0,643.0,614.0,565005.0,17.0,17.0,17.0,17.0,9.0
18,2024.04.02,646.0,11.0,655.0,656.0,620.0,589154.0,18.0,18.0,18.0,18.0,10.0
19,2024.04.01,657.0,25.0,676.0,679.0,646.0,703379.0,19.0,19.0,19.0,19.0,11.0
20,2024.03.29,682.0,13.0,694.0,700.0,675.0,213733.0,20.0,20.0,20.0,20.0,12.0
21,2024.03.28,695.0,8.0,709.0,718.0,686.0,269612.0,21.0,21.0,21.0,21.0,13.0
22,2024.03.27,703.0,6.0,722.0,728.0,690.0,313078.0,22.0,22.0,22.0,22.0,14.0
23,2024.03.26,709.0,4.0,705.0,759.0,704.0,553045.0,23.0,23.0,23.0,23.0,15.0
24,2024.03.25,705.0,25.0,730.0,737.0,697.0,378791.0,24.0,24.0,24.0,24.0,16.0
25,2024.03.22,730.0,51.0,730.0,800.0,710.0,1999434.0,25.0,25.0,25.0,25.0,17.0
26,2024.03.21,679.0,12.0,698.0,725.0,669.0,474309.0,26.0,26.0,26.0,26.0,18.0
27,2024.03.20,691.0,14.0,671.0,697.0,664.0,157284.0,27.0,27.0,27.0,27.0,19.0
28,2024.03.19,677.0,2.0,677.0,686.0,666.0,144269.0,28.0,28.0,28.0,28.0,20.0
29,2024.03.18,679.0,0.0,676.0,695.0,660.0,148374.0,29.0,29.0,29.0,29.0,21.0
30,2024.03.15,679.0,5.0,674.0,680.0,663.0,149367.0,30.0,30.0,30.0,30.0,22.0
31,2024.03.14,674.0,20.0,698.0,712.0,661.0,247404.0,31.0,31.0,31.0,31.0,23.0
32,2024.03.13,694.0,6.0,700.0,729.0,693.0,582340.0,32.0,32.0,32.0,32.0,24.0
33,2024.03.12,700.0,24.0,716.0,725.0,700.0,226253.0,33.0,33.0,33.0,33.0,25.0
34,2024.03.11,724.0,9.0,714.0,732.0,695.0,517398.0,34.0,34.0,34.0,34.0,26.0
