,날짜,종가,전일비,시가,고가,저가,거래량
0,2024.04.17,27950.0,200.0,27800.0,28000.0,27700.0,3950.0
1,2024.04.16,27750.0,0.0,27950.0,27950.0,27600.0,4547.0
2,2024.04.15,27750.0,150.0,27800.0,27950.0,27750.0,4959.0
3,2024.04.12,27900.0,50.0,27950.0,28200.0,27650.0,8532.0
4,2024.04.11,27950.0,0.0,27900.0,28000.0,27850.0,3835.0
5,2024.04.09,27950.0,150.0,28150.0,28150.0,27700.0,7769.0
6,2024.04.08,28100.0,0.0,28200.0,28200.0,27900.0,2727.0
7,2024.04.05,28100.0,50.0,27900.0,28150.0,27900.0,4576.0
8,2024.04.04,28150.0,50.0,28200.0,28250.0,28000.0,3497.0
9,2024.04.03,28200.0,200.0,28400.0,28400.0,28050.0,5011.0
10,2024.04.02,28400.0,50.0,28250.0,28400.0,28050.0,3049.0
11,2024.04.01,28350.0,50.0,28400.0,28550.0,28000.0,7465.0
12,2024.03.29,28300.0,100.0,28300.0,28450.0,28150.0,3856.0
13,2024.03.28,28400.0,0.0,28400.0,28500.0,28100.0,7436.0
14,2024.03.27,28400.0,250.0,28100.0,28450.0,28000.0,5894.0
15,2024.03.26,28150.0,250.0,28050.0,28200.0,27800.0,9168.0
16,2024.03.25,27900.0,250.0,28150.0,28150.0,27700.0,13481.0
17,2024.03.22,28150.0,300.0,28400.0,28450.0,27950.0,7509.0
18,2024.03.21,28450.0,50.0,28500.0,28550.0,28250.0,3243.0
19,2024.03.20,28400.0,300.0,28050.0,28600.0,27850.0,11674.0
20,2024.03.19,28100.0,150.0,28150.0,28200.0,27850.0,4998.0
21,2024.03.18,28250.0,0.0,28250.0,28350.0,27950.0,6405.0
22,2024.03.15,28250.0,50.0,27950.0,28300.0,27900.0,5616.0
23,2024.03.14,28200.0,150.0,28350.0,28400.0,28000.0,6573.0
24,2024.03.13,28350.0,100.0,28100.0,28500.0,28050.0,7826.0
25,2024.03.12,28250.0,50.0,28200.0,28500.0,28100.0,2979.0
26,2024.03.11,28300.0,100.0,28600.0,28600.0,28200.0,2813.0
27,2024.03.08,28400.0,50.0,28550.0,28550.0,28250.0,3844.0
28,2024.03.07,28450.0,150.0,28700.0,28850.0,28250.0,3774.0
29,2024.03.06,28600.0,50.0,28850.0,28850.0,28450.0,6967.0
30,2024.03.05,28650.0,500.0,29100.0,29150.0,28650.0,5305.0
31,2024.03.04,29150.0,150.0,29000.0,29200.0,28800.0,3523.0
32,2024.02.29,29000.0,100.0,29100.0,29200.0,28900.0,4484.0
33,2024.02.28,28900.0,100.0,28750.0,29050.0,28600.0,4857.0
34,2024.02.27,28800.0,50.0,28900.0,29000.0,28600.0,4644.0
35,2024.02.26,28850.0,50.0,29150.0,29150.0,28700.0,3766.0
36,2024.02.23,28900.0,250.0,29200.0,29200.0,28700.0,12599.0
37,2024.02.22,29150.0,100.0,29200.0,29300.0,28850.0,7658.0
38,2024.02.21,29050.0,150.0,29200.0,29350.0,29000.0,11575.0
39,2024.02.20,29200.0,350.0,29550.0,29550.0,29000.0,14344.0
40,2024.02.19,29550.0,700.0,28900.0,29650.0,28800.0,25969.0
41,2024.02.16,28850.0,250.0,28650.0,28900.0,28400.0,6284.0
42,2024.02.15,28600.0,50.0,28700.0,28700.0,28350.0,7810.0
43,2024.02.14,28650.0,50.0,28700.0,28800.0,28400.0,7404.0
44,2024.02.13,28700.0,250.0,29050.0,29050.0,28600.0,6450.0
45,2024.02.08,28950.0,350.0,29300.0,29300.0,28900.0,6753.0
46,2024.02.07,29300.0,800.0,28950.0,29300.0,28500.0,13288.0
47,2024.02.06,28500.0,300.0,28850.0,28850.0,28400.0,6080.0
48,2024.02.05,28800.0,200.0,28700.0,28900.0,28350.0,8171.0
49,2024.02.02,28600.0,300.0,29000.0,29000.0,28400.0,14676.0
50,2024.02.01,28900.0,700.0,28250.0,28950.0,28100.0,18637.0
51,2024.01.31,28200.0,150.0,28400.0,28550.0,28000.0,14376.0
52,2024.01.30,28350.0,150.0,28250.0,28400.0,28000.0,7156.0
53,2024.01.29,28200.0,300.0,28000.0,28250.0,27900.0,6479.0
54,2024.01.26,27900.0,0.0,28150.0,28150.0,27800.0,6401.0
55,2024.01.25,27900.0,100.0,28000.0,28150.0,27800.0,5108.0
