,날짜,종가,전일비,시가,고가,저가,거래량,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,2024.04.29,78300.0,"상승  2,400",77100.0,78400.0,75900.0,39603.0,0.0,0.0,0.0,
1,2024.04.26,75900.0,하락  300,76500.0,76500.0,74600.0,41695.0,1.0,1.0,1.0,
2,2024.04.25,76200.0,"하락  3,800",79300.0,79300.0,76100.0,56020.0,2.0,2.0,2.0,
3,2024.04.24,80000.0,"상승  3,500",77800.0,80500.0,77100.0,93466.0,3.0,3.0,3.0,
4,2024.04.23,76500.0,상승  400,76100.0,77900.0,76000.0,38855.0,4.0,4.0,4.0,
5,2024.04.22,76100.0,"하락  1,300",78600.0,79500.0,75900.0,59154.0,5.0,5.0,5.0,
6,2024.04.19,77400.0,"하락  2,200",80500.0,82200.0,76300.0,87683.0,6.0,6.0,6.0,
7,2024.04.18,79600.0,"상승  6,300",77600.0,82900.0,77600.0,217815.0,7.0,7.0,7.0,
8,2024.04.17,73300.0,3800.0,78100.0,80000.0,73300.0,99164.0,8.0,8.0,8.0,0.0
9,2024.04.16,77100.0,100.0,76800.0,81600.0,74400.0,128542.0,9.0,9.0,9.0,1.0
10,2024.04.15,77200.0,3200.0,76100.0,79000.0,75000.0,129259.0,10.0,10.0,10.0,2.0
11,2024.04.12,74000.0,5000.0,78400.0,78700.0,74000.0,99371.0,11.0,11.0,11.0,3.0
12,2024.04.11,79000.0,1100.0,78000.0,81700.0,77100.0,42582.0,12.0,12.0,12.0,4.0
13,2024.04.09,80100.0,1200.0,79000.0,81500.0,79000.0,46955.0,13.0,13.0,13.0,5.0
14,2024.04.08,78900.0,2100.0,76400.0,79900.0,73800.0,147848.0,14.0,14.0,14.0,6.0
15,2024.04.05,81000.0,2300.0,82000.0,82600.0,80600.0,44323.0,15.0,15.0,15.0,7.0
16,2024.04.04,83300.0,2000.0,82000.0,84900.0,82000.0,48479.0,16.0,16.0,16.0,8.0
17,2024.04.03,81300.0,2700.0,84500.0,84500.0,81000.0,70306.0,17.0,17.0,17.0,9.0
18,2024.04.02,84000.0,600.0,83400.0,85500.0,82600.0,48292.0,18.0,18.0,18.0,10.0
19,2024.04.01,83400.0,900.0,82300.0,83900.0,82000.0,48157.0,19.0,19.0,19.0,11.0
20,2024.03.29,82500.0,3000.0,85600.0,86000.0,82100.0,119636.0,20.0,20.0,20.0,12.0
21,2024.03.28,85500.0,6200.0,91700.0,91700.0,85500.0,204419.0,21.0,21.0,21.0,13.0
22,2024.03.27,91700.0,900.0,92200.0,93500.0,91000.0,45969.0,22.0,22.0,22.0,14.0
23,2024.03.26,92600.0,100.0,95000.0,98000.0,92500.0,96220.0,23.0,23.0,23.0,15.0
24,2024.03.25,92500.0,300.0,91900.0,92900.0,91400.0,46236.0,24.0,24.0,24.0,16.0
25,2024.03.22,92200.0,1200.0,93400.0,93500.0,91900.0,29206.0,25.0,25.0,25.0,17.0
26,2024.03.21,93400.0,2100.0,92000.0,93600.0,91300.0,39681.0,26.0,26.0,26.0,18.0
27,2024.03.20,91300.0,1500.0,93400.0,93400.0,90800.0,33658.0,27.0,27.0,27.0,19.0
28,2024.03.19,92800.0,200.0,93500.0,93600.0,90500.0,39142.0,28.0,28.0,28.0,20.0
29,2024.03.18,93000.0,1900.0,91100.0,93400.0,90300.0,45455.0,29.0,29.0,29.0,21.0
30,2024.03.15,91100.0,1800.0,92500.0,92800.0,91000.0,38102.0,30.0,30.0,30.0,22.0
31,2024.03.14,92900.0,1800.0,95300.0,95700.0,92900.0,48427.0,31.0,31.0,31.0,23.0
32,2024.03.13,94700.0,900.0,94700.0,96700.0,92400.0,58206.0,32.0,32.0,32.0,24.0
33,2024.03.12,93800.0,3200.0,92500.0,94000.0,91000.0,47571.0,33.0,33.0,33.0,25.0
34,2024.03.11,90600.0,1900.0,90900.0,90900.0,89200.0,90109.0,34.0,34.0,34.0,26.0
35,2024.03.08,92500.0,3900.0,98000.0,98100.0,92500.0,84043.0,35.0,35.0,35.0,27.0
36,2024.03.07,96400.0,3200.0,93500.0,98000.0,93100.0,60975.0,36.0,36.0,36.0,28.0
37,2024.03.06,93200.0,300.0,93500.0,94500.0,92200.0,46395.0,37.0,37.0,37.0,29.0
38,2024.03.05,93500.0,3000.0,95500.0,95500.0,93200.0,75827.0,38.0,38.0,38.0,30.0
39,2024.03.04,96500.0,2400.0,99100.0,99500.0,96200.0,75129.0,39.0,39.0,39.0,31.0
40,2024.02.29,98900.0,1900.0,96000.0,99200.0,95500.0,61484.0,40.0,40.0,40.0,32.0
41,2024.02.28,97000.0,1800.0,98600.0,98800.0,95100.0,77875.0,41.0,41.0,41.0,33.0
42,2024.02.27,98800.0,1700.0,100500.0,101300.0,98200.0,62361.0,42.0,42.0,42.0,34.0
43,2024.02.26,100500.0,1400.0,101000.0,102700.0,100000.0,53492.0,43.0,43.0,43.0,35.0
44,2024.02.23,101900.0,4600.0,104900.0,105500.0,100000.0,102461.0,44.0,44.0,44.0,36.0
45,2024.02.22,106500.0,4200.0,115000.0,115000.0,106500.0,121082.0,45.0,45.0,45.0,37.0
