,날짜,종가,전일비,시가,고가,저가,거래량,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,2024.04.29,1124.0,상승  4,1125.0,1138.0,1121.0,130059.0,0.0,0.0,
1,2024.04.26,1120.0,보합0,1145.0,1145.0,1113.0,77931.0,1.0,1.0,
2,2024.04.25,1120.0,상승  5,1129.0,1135.0,1117.0,53995.0,2.0,2.0,
3,2024.04.24,1115.0,상승  2,1125.0,1125.0,1110.0,129131.0,3.0,3.0,
4,2024.04.23,1113.0,하락  18,1131.0,1143.0,1113.0,113999.0,4.0,4.0,
5,2024.04.22,1131.0,상승  9,1115.0,1150.0,1115.0,127754.0,5.0,5.0,
6,2024.04.19,1122.0,상승  6,1122.0,1125.0,1100.0,205158.0,6.0,6.0,
7,2024.04.18,1116.0,보합0,1106.0,1134.0,1106.0,118042.0,7.0,7.0,
8,2024.04.17,1116.0,0.0,1111.0,1135.0,1111.0,106830.0,8.0,8.0,0.0
9,2024.04.16,1116.0,20.0,1137.0,1137.0,1112.0,202812.0,9.0,9.0,1.0
10,2024.04.15,1136.0,22.0,1165.0,1165.0,1125.0,125748.0,10.0,10.0,2.0
11,2024.04.12,1158.0,6.0,1164.0,1168.0,1150.0,127539.0,11.0,11.0,3.0
12,2024.04.11,1152.0,29.0,1175.0,1181.0,1152.0,246763.0,12.0,12.0,4.0
13,2024.04.09,1181.0,1.0,1181.0,1198.0,1178.0,107083.0,13.0,13.0,5.0
14,2024.04.08,1182.0,22.0,1205.0,1205.0,1181.0,206088.0,14.0,14.0,6.0
15,2024.04.05,1204.0,4.0,1188.0,1218.0,1182.0,239758.0,15.0,15.0,7.0
16,2024.04.04,1208.0,2.0,1205.0,1216.0,1191.0,146622.0,16.0,16.0,8.0
17,2024.04.03,1210.0,22.0,1220.0,1225.0,1197.0,199574.0,17.0,17.0,9.0
18,2024.04.02,1232.0,24.0,1256.0,1256.0,1215.0,282588.0,18.0,18.0,10.0
19,2024.04.01,1256.0,23.0,1236.0,1264.0,1233.0,268017.0,19.0,19.0,11.0
20,2024.03.29,1233.0,6.0,1227.0,1249.0,1227.0,181603.0,20.0,20.0,12.0
21,2024.03.28,1239.0,4.0,1230.0,1267.0,1230.0,315474.0,21.0,21.0,13.0
22,2024.03.27,1243.0,4.0,1236.0,1257.0,1236.0,211443.0,22.0,22.0,14.0
23,2024.03.26,1239.0,6.0,1224.0,1253.0,1220.0,210846.0,23.0,23.0,15.0
24,2024.03.25,1233.0,8.0,1227.0,1237.0,1222.0,149584.0,24.0,24.0,16.0
25,2024.03.22,1225.0,20.0,1210.0,1226.0,1205.0,182801.0,25.0,25.0,17.0
26,2024.03.21,1205.0,1.0,1202.0,1213.0,1202.0,184693.0,26.0,26.0,18.0
27,2024.03.20,1206.0,2.0,1196.0,1211.0,1196.0,183457.0,27.0,27.0,19.0
28,2024.03.19,1204.0,12.0,1216.0,1220.0,1196.0,248027.0,28.0,28.0,20.0
29,2024.03.18,1216.0,10.0,1218.0,1233.0,1212.0,97864.0,29.0,29.0,21.0
