,날짜,종가,전일비,시가,고가,저가,거래량
0,2024.04.17,13170.0,430.0,14440.0,16560.0,13120.0,2410845.0
1,2024.04.16,12740.0,2940.0,9800.0,12740.0,9770.0,505939.0
2,2024.04.15,9800.0,260.0,9440.0,9800.0,9120.0,50147.0
3,2024.04.12,9540.0,370.0,9990.0,9990.0,9500.0,40110.0
4,2024.04.11,9910.0,2270.0,10500.0,10500.0,9800.0,96981.0
5,2024.04.09,12180.0,160.0,12100.0,13980.0,12060.0,244283.0
6,2024.04.08,12340.0,660.0,13570.0,13900.0,12220.0,140885.0
7,2024.04.05,13000.0,900.0,13920.0,15650.0,12750.0,384801.0
8,2024.04.04,13900.0,1530.0,12430.0,15650.0,12220.0,1024000.0
9,2024.04.03,12370.0,110.0,12200.0,12370.0,11990.0,32006.0
10,2024.04.02,12260.0,920.0,13260.0,13260.0,12250.0,23610.0
11,2024.04.01,13180.0,860.0,14040.0,14040.0,13170.0,28790.0
12,2024.03.29,14040.0,20.0,13900.0,14310.0,13800.0,38183.0
13,2024.03.28,14060.0,30.0,13710.0,15040.0,13650.0,98622.0
14,2024.03.27,14090.0,410.0,14800.0,14810.0,13760.0,103427.0
15,2024.03.26,14500.0,180.0,14330.0,16100.0,14100.0,333190.0
16,2024.03.25,14320.0,910.0,13450.0,16000.0,13300.0,490712.0
17,2024.03.22,13410.0,750.0,14110.0,14990.0,13250.0,202452.0
18,2024.03.21,14160.0,1220.0,13300.0,16240.0,12940.0,1074750.0
19,2024.03.20,12940.0,860.0,13150.0,13710.0,12880.0,132927.0
20,2024.03.19,13800.0,1940.0,12220.0,15410.0,12220.0,181303.0
21,2024.03.18,11860.0,120.0,11940.0,11940.0,11850.0,11963.0
22,2024.03.15,11980.0,140.0,11840.0,12520.0,11800.0,15779.0
23,2024.03.14,11840.0,380.0,12220.0,12220.0,11840.0,14863.0
24,2024.03.13,12220.0,80.0,12450.0,12450.0,12220.0,14633.0
25,2024.03.12,12300.0,940.0,12740.0,12740.0,12290.0,37308.0
26,2024.03.11,13240.0,70.0,13170.0,13350.0,13170.0,7158.0
27,2024.03.08,13170.0,10.0,13390.0,13540.0,13170.0,11791.0
28,2024.03.07,13180.0,170.0,13250.0,13300.0,13180.0,12844.0
29,2024.03.06,13350.0,270.0,13080.0,13600.0,13080.0,25039.0
30,2024.03.05,13620.0,980.0,14000.0,14000.0,13600.0,34850.0
31,2024.03.04,14600.0,400.0,14440.0,14600.0,14230.0,46588.0
32,2024.02.29,14200.0,590.0,14160.0,14570.0,14000.0,120670.0
33,2024.02.28,14790.0,1030.0,13980.0,17490.0,13800.0,910805.0
34,2024.02.27,13760.0,440.0,14200.0,14300.0,13560.0,47643.0
35,2024.02.26,14200.0,510.0,14500.0,14650.0,14000.0,39468.0
36,2024.02.23,14710.0,450.0,15400.0,15510.0,14500.0,67756.0
37,2024.02.22,15160.0,120.0,15320.0,15870.0,14780.0,131027.0
38,2024.02.21,15040.0,1950.0,16330.0,18790.0,14940.0,576535.0
39,2024.02.20,16990.0,2830.0,14360.0,16990.0,14170.0,105179.0
40,2024.02.19,14160.0,440.0,13700.0,14600.0,13700.0,59882.0
41,2024.02.16,14600.0,3650.0,15220.0,18100.0,14600.0,219996.0
42,2024.02.15,18250.0,3250.0,15570.0,18500.0,15570.0,297260.0
43,2024.02.14,15000.0,3000.0,11830.0,15200.0,11830.0,211126.0
44,2024.02.13,12000.0,150.0,11510.0,12020.0,11510.0,28241.0
45,2024.02.08,11850.0,0.0,12000.0,12000.0,11500.0,29613.0
46,2024.02.07,11850.0,1300.0,10660.0,12000.0,10660.0,42633.0
47,2024.02.06,10550.0,800.0,11180.0,11180.0,10550.0,21704.0
48,2024.02.05,11350.0,30.0,11500.0,11500.0,11350.0,12102.0
49,2024.02.02,11320.0,120.0,11180.0,11410.0,11180.0,13456.0
50,2024.02.01,11200.0,610.0,11630.0,11630.0,11200.0,17136.0
51,2024.01.31,11810.0,190.0,11610.0,11810.0,11610.0,21276.0
52,2024.01.30,11620.0,550.0,12300.0,12300.0,11540.0,21694.0
53,2024.01.29,12170.0,480.0,12670.0,12670.0,12170.0,20027.0
54,2024.01.26,12650.0,150.0,12470.0,12650.0,12310.0,26043.0
55,2024.01.25,12500.0,70.0,12300.0,12500.0,11680.0,41665.0
56,2024.01.24,12430.0,2170.0,13550.0,13550.0,12340.0,78934.0
57,2024.01.23,14600.0,3290.0,11520.0,14600.0,11310.0,148746.0
58,2024.01.22,11310.0,660.0,11150.0,12130.0,11150.0,119485.0
59,2024.01.19,11970.0,1010.0,12800.0,12800.0,11940.0,58585.0
60,2024.01.18,12980.0,450.0,13610.0,13610.0,12960.0,21896.0
61,2024.01.17,13430.0,840.0,14220.0,14220.0,13360.0,20121.0
62,2024.01.16,14270.0,600.0,14380.0,14380.0,14260.0,27099.0
63,2024.01.15,14870.0,30.0,15320.0,15320.0,14290.0,33544.0
64,2024.01.12,14840.0,170.0,15010.0,15010.0,13500.0,63421.0
65,2024.01.11,15010.0,2070.0,16940.0,16940.0,14800.0,82451.0
66,2024.01.10,17080.0,670.0,17800.0,18500.0,16030.0,157591.0
67,2024.01.09,17750.0,450.0,18500.0,18590.0,17720.0,150713.0
68,2024.01.08,18200.0,40.0,18510.0,19990.0,17150.0,522634.0
69,2024.01.05,18160.0,950.0,19170.0,19200.0,18100.0,144018.0
70,2024.01.04,19110.0,810.0,19920.0,20850.0,18270.0,604405.0
71,2024.01.03,19920.0,440.0,21000.0,22500.0,19500.0,541475.0
72,2024.01.02,19480.0,1430.0,18380.0,22450.0,18380.0,1242378.0
73,2023.12.28,18050.0,4160.0,14570.0,18050.0,14520.0,1254618.0
74,2023.12.27,13890.0,3690.0,15540.0,15550.0,12770.0,831776.0
75,2023.12.26,17580.0,3220.0,21300.0,21650.0,17560.0,318923.0
76,2023.12.22,20800.0,1900.0,21000.0,22700.0,20000.0,583225.0
77,2023.12.21,22700.0,1550.0,20700.0,27000.0,19950.0,2781667.0
78,2023.12.20,21150.0,100.0,22250.0,22300.0,20100.0,246775.0
79,2023.12.19,21050.0,1050.0,22300.0,22650.0,20300.0,408072.0
80,2023.12.18,22100.0,1700.0,21700.0,23800.0,21000.0,683480.0
81,2023.12.15,20400.0,200.0,20000.0,22200.0,19830.0,580915.0
82,2023.12.14,20600.0,1300.0,22750.0,23000.0,19720.0,416110.0
83,2023.12.13,21900.0,2200.0,22500.0,24300.0,21400.0,671069.0
84,2023.12.12,24100.0,900.0,24200.0,26350.0,20500.0,1694593.0
85,2023.12.11,23200.0,3200.0,20150.0,25400.0,19210.0,2154457.0
86,2023.12.08,20000.0,1700.0,24150.0,24250.0,19200.0,1226211.0
87,2023.12.07,21700.0,5350.0,26900.0,28800.0,21700.0,1503688.0
88,2023.12.06,27050.0,250.0,28300.0,30850.0,25500.0,2462027.0
89,2023.12.05,26800.0,400.0,25100.0,32750.0,21850.0,4733555.0
90,2023.12.04,27200.0,0.0,0.0,0.0,0.0,0.0
91,2023.12.01,27200.0,4050.0,27700.0,29900.0,21400.0,5107632.0
92,2023.11.30,23150.0,5340.0,20600.0,23150.0,20300.0,1143922.0
93,2023.11.29,17810.0,0.0,0.0,0.0,0.0,0.0
94,2023.11.28,17810.0,4110.0,15000.0,17810.0,14960.0,1199154.0
95,2023.11.27,13700.0,3160.0,11790.0,13700.0,10640.0,2493653.0
96,2023.11.24,10540.0,2430.0,9100.0,10540.0,8200.0,1935216.0
97,2023.11.23,8110.0,1870.0,7790.0,8110.0,7560.0,736434.0
98,2023.11.22,6240.0,1440.0,4800.0,6240.0,4800.0,283867.0
99,2023.11.21,4800.0,45.0,4755.0,4830.0,4700.0,47533.0
100,2023.11.20,4755.0,35.0,4660.0,4780.0,4660.0,5635.0
101,2023.11.17,4720.0,60.0,4780.0,4825.0,4635.0,5096.0
102,2023.11.16,4780.0,15.0,4750.0,4860.0,4680.0,15629.0
103,2023.11.15,4765.0,115.0,4665.0,4840.0,4600.0,23113.0
104,2023.11.14,4650.0,40.0,4615.0,4770.0,4585.0,7812.0
105,2023.11.13,4690.0,145.0,4545.0,5190.0,4530.0,55312.0
106,2023.11.10,4545.0,90.0,4585.0,4680.0,4535.0,8696.0
107,2023.11.09,4635.0,30.0,4695.0,4700.0,4600.0,7062.0
108,2023.11.08,4665.0,15.0,4700.0,4800.0,4625.0,10274.0
109,2023.11.07,4650.0,210.0,4870.0,4870.0,4555.0,17946.0
110,2023.11.06,4860.0,100.0,4800.0,4900.0,4795.0,18409.0
111,2023.11.03,4760.0,30.0,4730.0,5000.0,4635.0,16992.0
112,2023.11.02,4730.0,95.0,4710.0,4800.0,4655.0,10164.0
113,2023.11.01,4635.0,0.0,4675.0,4795.0,4635.0,3482.0
114,2023.10.31,4635.0,165.0,4830.0,4930.0,4510.0,6504.0
115,2023.10.30,4800.0,10.0,4750.0,4830.0,4600.0,5102.0
116,2023.10.27,4790.0,50.0,4665.0,4840.0,4665.0,9594.0
117,2023.10.26,4740.0,165.0,4555.0,4905.0,4555.0,10347.0
118,2023.10.25,4905.0,30.0,4855.0,5080.0,4855.0,9924.0
119,2023.10.24,4935.0,70.0,4870.0,5010.0,4750.0,20944.0
120,2023.10.23,4865.0,110.0,4995.0,4995.0,4815.0,4678.0
121,2023.10.20,4975.0,125.0,5010.0,5010.0,4865.0,15707.0
122,2023.10.19,5100.0,110.0,5190.0,5200.0,4970.0,27606.0
123,2023.10.18,5210.0,80.0,5290.0,5370.0,5130.0,18779.0
124,2023.10.17,5290.0,70.0,5150.0,5630.0,5140.0,105755.0
125,2023.10.16,5220.0,230.0,5450.0,5450.0,5090.0,17538.0
126,2023.10.13,5450.0,140.0,5520.0,5610.0,5370.0,28391.0
127,2023.10.12,5590.0,150.0,5800.0,5800.0,5510.0,25937.0
128,2023.10.11,5740.0,40.0,5680.0,5830.0,5610.0,28061.0
129,2023.10.10,5700.0,30.0,5750.0,6050.0,5530.0,88617.0
130,2023.10.06,5670.0,110.0,5560.0,5890.0,5510.0,75030.0
131,2023.10.05,5560.0,320.0,5840.0,5980.0,5450.0,58701.0
132,2023.10.04,5880.0,20.0,5800.0,6300.0,5800.0,99352.0
133,2023.09.27,5900.0,0.0,5900.0,6090.0,5600.0,30589.0
134,2023.09.26,5900.0,40.0,5810.0,6060.0,5750.0,20524.0
135,2023.09.25,5860.0,350.0,6160.0,6270.0,5800.0,34076.0
136,2023.09.22,6210.0,180.0,6350.0,6620.0,6180.0,122709.0
137,2023.09.21,6390.0,10.0,6300.0,6830.0,6130.0,156072.0
138,2023.09.20,6380.0,40.0,6280.0,6640.0,6280.0,65233.0
139,2023.09.19,6340.0,80.0,6490.0,6560.0,6280.0,36611.0
140,2023.09.18,6420.0,10.0,6450.0,6650.0,6410.0,59850.0
141,2023.09.15,6430.0,370.0,6520.0,6960.0,6420.0,180388.0
142,2023.09.14,6800.0,700.0,6100.0,7500.0,6080.0,741944.0
143,2023.09.13,6100.0,150.0,6160.0,6360.0,6050.0,43145.0
144,2023.09.12,6250.0,240.0,6520.0,6650.0,6210.0,76337.0
145,2023.09.11,6490.0,210.0,6630.0,6750.0,6490.0,46540.0
146,2023.09.08,6700.0,150.0,6860.0,7000.0,6510.0,53548.0
147,2023.09.07,6850.0,40.0,6830.0,7090.0,6710.0,69063.0
148,2023.09.06,6810.0,280.0,7100.0,7100.0,6740.0,96508.0
149,2023.09.05,7090.0,540.0,6550.0,7790.0,6440.0,776482.0
150,2023.09.04,6550.0,200.0,6370.0,6560.0,6280.0,48857.0
151,2023.09.01,6350.0,190.0,6430.0,6560.0,6350.0,48421.0
152,2023.08.31,6540.0,330.0,6870.0,6970.0,6470.0,77737.0
153,2023.08.30,6870.0,50.0,6880.0,7070.0,6810.0,66777.0
154,2023.08.29,6920.0,130.0,6910.0,7440.0,6730.0,240412.0
155,2023.08.28,7050.0,110.0,7290.0,7440.0,6720.0,122029.0
156,2023.08.25,7160.0,360.0,7580.0,7840.0,7020.0,280429.0
157,2023.08.24,7520.0,90.0,7480.0,8120.0,7460.0,349439.0
158,2023.08.23,7430.0,70.0,7750.0,9390.0,7010.0,2424083.0
159,2023.08.22,7500.0,1030.0,7000.0,7800.0,6310.0,628566.0
160,2023.08.21,6470.0,440.0,6790.0,7160.0,5810.0,489925.0
161,2023.08.18,6910.0,1730.0,7840.0,8300.0,6510.0,545912.0
162,2023.08.17,8640.0,2340.0,11100.0,13800.0,7880.0,2301911.0
163,2023.08.16,10980.0,2530.0,9980.0,10980.0,9710.0,425722.0
164,2023.08.14,8450.0,1950.0,7140.0,8450.0,7040.0,1014123.0
165,2023.08.11,6500.0,450.0,7000.0,7100.0,6280.0,390969.0
166,2023.08.10,6950.0,130.0,7500.0,7500.0,6710.0,466737.0
167,2023.08.09,7080.0,60.0,6700.0,7600.0,6330.0,460508.0
168,2023.08.08,7140.0,3060.0,10630.0,12150.0,7140.0,1901341.0
169,2023.08.07,10200.0,2150.0,8050.0,10210.0,8050.0,1533589.0
170,2023.08.04,8050.0,2790.0,9150.0,11700.0,7590.0,3977722.0
171,2023.08.03,10840.0,2500.0,8910.0,10840.0,8340.0,2900003.0
172,2023.08.02,8340.0,1920.0,7670.0,8340.0,7340.0,1061497.0
173,2023.08.01,6420.0,1240.0,5190.0,6640.0,5190.0,1369147.0
174,2023.07.31,5180.0,480.0,4795.0,6100.0,4765.0,814805.0
175,2023.07.28,4700.0,260.0,4740.0,4760.0,4460.0,5757.0
176,2023.07.27,4440.0,70.0,4200.0,4880.0,4200.0,11160.0
177,2023.07.26,4370.0,165.0,4520.0,4525.0,4100.0,24369.0
178,2023.07.25,4535.0,175.0,4650.0,4710.0,4500.0,12985.0
179,2023.07.24,4710.0,165.0,4875.0,4875.0,4675.0,8985.0
180,2023.07.21,4875.0,100.0,5000.0,5000.0,4825.0,5138.0
181,2023.07.20,4975.0,75.0,4900.0,4990.0,4800.0,6241.0
182,2023.07.19,4900.0,90.0,4990.0,5000.0,4890.0,3123.0
183,2023.07.18,4990.0,100.0,5070.0,5070.0,4940.0,5233.0
184,2023.07.17,5090.0,10.0,5040.0,5170.0,4960.0,12987.0
185,2023.07.14,5100.0,50.0,5050.0,5360.0,4970.0,18542.0
186,2023.07.13,5050.0,50.0,5160.0,5300.0,5050.0,7555.0
187,2023.07.12,5100.0,10.0,5180.0,5180.0,5020.0,6067.0
188,2023.07.11,5110.0,140.0,5200.0,5300.0,5090.0,5106.0
189,2023.07.10,5250.0,60.0,5130.0,5250.0,5110.0,2530.0
190,2023.07.07,5190.0,0.0,5180.0,5190.0,5050.0,7500.0
191,2023.07.06,5190.0,90.0,5150.0,5380.0,4975.0,13430.0
192,2023.07.05,5280.0,100.0,5380.0,5380.0,5200.0,13785.0
193,2023.07.04,5380.0,130.0,5480.0,5550.0,5380.0,4717.0
194,2023.07.03,5510.0,20.0,5450.0,5540.0,5360.0,5194.0
195,2023.06.30,5490.0,20.0,5530.0,5540.0,5410.0,2631.0
196,2023.06.29,5470.0,130.0,5540.0,5690.0,5460.0,4914.0
197,2023.06.28,5600.0,10.0,5610.0,5700.0,5520.0,2994.0
198,2023.06.27,5610.0,10.0,5530.0,5650.0,5530.0,2307.0
199,2023.06.26,5600.0,20.0,5580.0,5640.0,5510.0,5132.0
200,2023.06.23,5620.0,100.0,5770.0,5770.0,5570.0,4916.0
201,2023.06.22,5720.0,40.0,5640.0,5870.0,5620.0,5740.0
202,2023.06.21,5680.0,90.0,5770.0,5780.0,5630.0,7269.0
203,2023.06.20,5770.0,110.0,5880.0,5940.0,5750.0,3189.0
204,2023.06.19,5880.0,70.0,5830.0,6000.0,5830.0,4724.0
205,2023.06.16,5950.0,10.0,5960.0,5980.0,5830.0,2561.0
206,2023.06.15,5960.0,10.0,5970.0,6050.0,5860.0,2287.0
207,2023.06.14,5950.0,50.0,5950.0,6030.0,5860.0,9629.0
208,2023.06.13,6000.0,40.0,6010.0,6260.0,5930.0,4453.0
209,2023.06.12,5960.0,110.0,6070.0,6080.0,5960.0,4354.0
210,2023.06.09,6070.0,100.0,6210.0,6210.0,6000.0,8465.0
211,2023.06.08,6170.0,140.0,6080.0,6200.0,5910.0,15600.0
212,2023.06.07,6030.0,270.0,5680.0,6600.0,5680.0,110167.0
213,2023.06.05,5760.0,10.0,5870.0,6000.0,5750.0,10166.0
214,2023.06.02,5750.0,70.0,5770.0,5950.0,5690.0,4099.0
215,2023.06.01,5680.0,70.0,5690.0,5900.0,5670.0,6440.0
216,2023.05.31,5750.0,10.0,5740.0,5820.0,5670.0,4112.0
217,2023.05.30,5740.0,70.0,5690.0,5770.0,5630.0,3736.0
218,2023.05.26,5670.0,0.0,5750.0,5800.0,5590.0,8424.0
219,2023.05.25,5670.0,110.0,5560.0,5730.0,5520.0,9303.0
220,2023.05.24,5560.0,80.0,5600.0,5630.0,5540.0,7230.0
221,2023.05.23,5640.0,30.0,5680.0,5690.0,5590.0,4612.0
222,2023.05.22,5670.0,40.0,5710.0,5730.0,5620.0,7426.0
223,2023.05.19,5630.0,30.0,5680.0,5700.0,5580.0,1719.0
224,2023.05.18,5660.0,40.0,5610.0,5720.0,5540.0,4171.0
225,2023.05.17,5620.0,40.0,5560.0,5630.0,5310.0,5499.0
226,2023.05.16,5580.0,130.0,5750.0,5780.0,5500.0,11902.0
227,2023.05.15,5710.0,150.0,5860.0,5860.0,5650.0,5821.0
228,2023.05.12,5860.0,140.0,5730.0,5900.0,5650.0,8541.0
229,2023.05.11,5720.0,50.0,5680.0,6120.0,5600.0,39650.0
